"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-40,"Control",0.884343572505742,0.042161105923301,274.802411000834,0.801343780535979,0.967343364475505,"BgNav1","1","Var1"
-40,"Veneno",0.785647343540605,0.0412844450472818,274.802411000834,0.704373376089535,0.866921310991675,"BgNav1","1","Var1"
-35,"Control",0.995560278137354,0.0420503232785917,274.802411000834,0.912778576662691,1.07834197961202,"BgNav1","1","Var1"
-35,"Veneno",0.937790756396939,0.0411955569411594,274.802411000834,0.856691777105101,1.01888973568878,"BgNav1","1","Var1"
-30,"Control",1.00571471985727,0.0421501078321225,274.802411000834,0.922736579105137,1.0886928606094,"BgNav1","1","Var1"
-30,"Veneno",0.998211853093892,0.0412758070992695,274.802411000834,0.916954890602069,1.07946881558571,"BgNav1","1","Var1"
-25,"Control",0.986351463815437,0.0422913101871377,274.802411000834,0.903095347288351,1.06960758034252,"BgNav1","1","Var1"
-25,"Veneno",0.996084415953282,0.0413892227396499,274.802411000834,0.914604179561225,1.07756465234534,"BgNav1","1","Var1"
-20,"Control",0.957908878601937,0.0421836555247313,274.802411000834,0.874864694717239,1.04095306248663,"BgNav1","1","Var1"
-20,"Veneno",0.976018215683414,0.0413053774036766,274.802411000834,0.894703040081178,1.05733339128565,"BgNav1","1","Var1"
-15,"Control",0.922568393570429,0.0420269320962065,274.802411000834,0.839832740775689,1.00530404636517,"BgNav1","1","Var1"
-15,"Veneno",0.950398934127156,0.0412336700480496,274.802411000834,0.869224924072394,1.03157294418192,"BgNav1","1","Var1"
-10,"Control",0.88276598109319,0.0426016882070874,274.802411000834,0.798898843803635,0.966633118382745,"BgNav1","1","Var1"
-10,"Veneno",0.918427894680934,0.0418002416362363,274.802411000834,0.836138512462048,1.00071727689982,"BgNav1","1","Var1"
-5,"Control",0.834479977837922,0.0432116156406668,274.802411000834,0.749412116587382,0.919547839088462,"BgNav1","1","Var1"
-5,"Veneno",0.886075124402112,0.0422095971898222,274.802411000834,0.802979870870195,0.969170377934029,"BgNav1","1","Var1"
0,"Control",0.783473461422451,0.0540107553166356,274.802411000834,0.677146045259182,0.889800877585721,"BgNav1","1","Var1"
0,"Veneno",0.851144455574883,0.0535003173007814,274.802411000834,0.745821905109549,0.956467006040217,"BgNav1","1","Var1"
-90,"Control",0.990965348762934,0.0291550470203106,270.269084639671,0.933565469555373,1.04836522797049,"BgNav1","1","Var2"
-90,"Veneno",0.995471545969151,0.0290989288363952,270.269084639671,0.938182151130758,1.05276094080754,"BgNav1","1","Var2"
-85,"Control",0.993425471284267,0.0253611091255406,270.269084639671,0.943495021871454,1.04335592069708,"BgNav1","1","Var2"
-85,"Veneno",0.99463421314183,0.0252176979698423,270.269084639671,0.944986108772342,1.04428231751132,"BgNav1","1","Var2"
-80,"Control",0.994091708147198,0.0248380601950962,270.269084639671,0.945191027110551,1.04299238918385,"BgNav1","1","Var2"
-80,"Veneno",0.99134998384956,0.0247421597382074,270.269084639671,0.942638109733291,1.04006185796583,"BgNav1","1","Var2"
