Canal,Tratamiento,Concentracion,Celula,Voltaje,Corriente,Var1,Var2
Nav1.4,Control,2,3,-70,-0.03488922119,0.009720422095,
Nav1.4,Control,2,3,-65,-0.02584648132,0.007674793571,
Nav1.4,Control,2,3,-60,-0.008546829224,0.002716599055,
Nav1.4,Control,2,3,-55,-0.006610870361,0.002260443066,
Nav1.4,Control,2,3,-50,-0.006818771362,0.002522639323,
Nav1.4,Control,2,3,-45,-0.02525901794,0.01017905128,
Nav1.4,Control,2,3,-40,-0.1103935242,0.04884861891,
Nav1.4,Control,2,3,-35,-0.3253192902,0.1595992522,
Nav1.4,Control,2,3,-30,-0.7016983032,0.386229496,
Nav1.4,Control,2,3,-25,-1.00504303,0.6300297001,
Nav1.4,Control,2,3,-20,-1.106565475,0.8055533167,
Nav1.4,Control,2,3,-15,-1.031057358,0.8949285137,
Nav1.4,Control,2,3,-10,-0.9305515289,1,
Nav1.4,Control,2,3,-5,-0.6905879974,0.9740425097,
Nav1.4,Control,2,3,0,-0.4300937653,0.8823671466,
Nav1.4,Control,2,3,5,-0.1755256653,,
Nav1.4,Control,2,3,10,-0.02173233032,,
Nav1.4,Control,2,3,15,0.1348209381,,
Nav1.4,Control,2,3,20,0.1670761108,,
Nav1.4,Control,2,3,25,0.1747570038,,
Nav1.4,Control,2,3,30,0.1850547791,,
Nav1.4,Control,2,3,35,0.1917457581,,
Nav1.4,Control,2,3,40,0.2024002075,,
Nav1.4,Control,2,3,45,0.2140312195,,
Nav1.4,Control,2,3,50,0.2232894897,,
Nav1.4,Control,2,3,55,0.2420654297,,
Nav1.4,Control,2,3,60,0.2560157776,,
Nav1.4,Control,2,3,65,0.280254364,,
Nav1.4,Veneno,2,3,-90,-0.04906497896,0.01787351476,
Nav1.4,Veneno,2,3,-85,-0.04964344576,0.01884408213,
Nav1.4,Veneno,2,3,-80,-0.03953620419,0.01566571247,
Nav1.4,Veneno,2,3,-75,-0.04624096304,0.01916286341,
Nav1.4,Veneno,2,3,-70,-0.0373134315,0.01620659886,
Nav1.4,Veneno,2,3,-65,-0.03705836087,0.01690873209,
Nav1.4,Veneno,2,3,-60,-0.04693330079,0.02255346514,
Nav1.4,Veneno,2,3,-55,-0.05933163688,0.03011316161,
Nav1.4,Veneno,2,3,-50,-0.1491808593,0.0802220674,
Nav1.4,Veneno,2,3,-45,-0.1810011268,0.1034937727,
Nav1.4,Veneno,2,3,-40,-0.2760747671,0.1685213875,
Nav1.4,Veneno,2,3,-35,-0.4609702826,0.3017754244,
Nav1.4,Veneno,2,3,-30,-0.7171676159,0.5061750426,
Nav1.4,Veneno,2,3,-25,-0.9450519681,0.7235419413,
Nav1.4,Veneno,2,3,-20,-1.050223708,0.8785127921,
Nav1.4,Veneno,2,3,-15,-1.044794321,0.9631518316,
Nav1.4,Veneno,2,3,-10,-0.9740755558,1,
Nav1.4,Veneno,2,3,-5,-0.8119725585,0.9404523078,
Nav1.4,Veneno,2,3,0,-0.6304795146,0.8376297517,
Nav1.4,Veneno,2,3,5,-0.4447823167,,
Nav1.4,Veneno,2,3,10,-0.3118031025,,
Nav1.4,Veneno,2,3,15,-0.1811924279,,
Nav1.4,Veneno,2,3,20,-0.1022429988,,
Nav1.4,Veneno,2,3,25,-0.05961859226,,
Nav1.4,Veneno,2,3,30,-0.02462814189,,
Nav1.4,Veneno,2,3,35,0.005461279303,,
Nav1.4,Veneno,2,3,40,0.01877058856,,
Nav1.4,Veneno,2,3,45,-0.03767326847,,
Nav1.4,Veneno,2,3,50,-0.01906209812,,
Nav1.4,Veneno,2,3,55,0.0189573355,,
Nav1.4,Veneno,2,3,60,0.04641860351,,
Nav1.4,Veneno,2,3,65,0.02009149641,,
Nav1.4,Control,2,4,-90,-0.07403564453,0.02489698948,
Nav1.4,Control,2,4,-85,-0.06719970703,0.02381969722,
Nav1.4,Control,2,4,-80,-0.05933380127,0.02223334,
Nav1.4,Control,2,4,-75,-0.05974578857,0.02374454976,
Nav1.4,Control,2,4,-70,-0.05185699463,0.02193896983,
Nav1.4,Control,2,4,-65,-0.05743408203,0.02597420521,
Nav1.4,Control,2,4,-60,-0.05091094971,0.02472965261,
Nav1.4,Control,2,4,-55,-0.04149627686,0.02176906144,
Nav1.4,Control,2,4,-50,-0.03910446167,0.02229816151,
Nav1.4,Control,2,4,-45,-0.02452468872,0.01531633266,
Nav1.4,Control,2,4,-40,-0.02013015747,0.01389517921,
Nav1.4,Control,2,4,-35,-0.02174758911,0.01677771369,
Nav1.4,Control,2,4,-30,-0.02615356445,0.02286705357,
Nav1.4,Control,2,4,-25,-0.1585426331,0.1599459676,
Nav1.4,Control,2,4,-20,-0.3352928162,0.3997625848,
Nav1.4,Control,2,4,-15,-0.4320449829,0.6295888644,
Nav1.4,Control,2,4,-10,-0.4149589539,0.7774593327,
Nav1.4,Control,2,4,-5,-0.3445663452,0.9038022814,
Nav1.4,Control,2,4,0,-0.2167167664,0.9474184511,
Nav1.4,Control,2,4,5,-0.06597518921,,
Nav1.4,Control,2,4,10,0.07624816895,,
Nav1.4,Control,2,4,15,0.1160087585,,
Nav1.4,Control,2,4,20,0.1196403503,,
Nav1.4,Control,2,4,25,0.1282424927,,
Nav1.4,Control,2,4,30,0.125,,
Nav1.4,Control,2,4,35,0.1329650879,,
Nav1.4,Control,2,4,40,0.1304855347,,
Nav1.4,Control,2,4,45,0.1380081177,,
Nav1.4,Control,2,4,50,0.1345977783,,
Nav1.4,Control,2,4,55,0.1525611877,,
Nav1.4,Control,2,4,60,0.1707878113,,
Nav1.4,Control,2,4,65,0.1833381653,,
Nav1.4,Veneno,2,4,-90,-0.07528489828,0.05112740392,
Nav1.4,Veneno,2,4,-85,-0.0739903599,0.05221108091,
Nav1.4,Veneno,2,4,-80,-0.07220360637,0.05302141243,
Nav1.4,Veneno,2,4,-75,-0.06157659739,0.04713366317,
Nav1.4,Veneno,2,4,-70,-0.04867553711,0.03890718618,
Nav1.4,Veneno,2,4,-65,-0.05191433802,0.04341712674,
Nav1.4,Veneno,2,4,-60,-0.05736320466,0.05030297784,
Nav1.4,Veneno,2,4,-55,-0.04676572978,0.04310217189,
Nav1.4,Veneno,2,4,-50,-0.05497594178,0.05339335902,
Nav1.4,Veneno,2,4,-45,-0.05286924168,0.0542647646,
Nav1.4,Veneno,2,4,-40,-0.05295291916,0.05762478639,
Nav1.4,Veneno,2,4,-35,-0.05681191757,0.065787345,
Nav1.4,Veneno,2,4,-30,-0.09476199746,0.1172489226,
Nav1.4,Veneno,2,4,-25,-0.2530251741,0.3360874797,
Nav1.4,Veneno,2,4,-20,-0.4506363273,0.646075338,
Nav1.4,Veneno,2,4,-15,-0.5862377286,0.9129422067,
Nav1.4,Veneno,2,4,-10,-0.5867841244,1,
Nav1.4,Veneno,2,4,-5,-0.4844517708,0.9116052645,
Nav1.4,Veneno,2,4,0,-0.4067353308,0.8543600991,
Nav1.4,Veneno,2,4,5,-0.3354472518,,
Nav1.4,Veneno,2,4,10,-0.1524353027,,
Nav1.4,Veneno,2,4,15,-0.06522393972,,
Nav1.4,Veneno,2,4,20,-0.03778765351,,
Nav1.4,Veneno,2,4,25,-0.035297025,,
Nav1.4,Veneno,2,4,30,-0.02260269597,,
Nav1.4,Veneno,2,4,35,-0.02323765866,,
Nav1.4,Veneno,2,4,40,-0.01251220703,,
Nav1.4,Veneno,2,4,45,0.006610501558,,
Nav1.4,Veneno,2,4,50,0.002170685679,,
Nav1.4,Veneno,2,4,55,0.01977243647,,
Nav1.4,Veneno,2,4,60,0.02180530131,,
Nav1.4,Veneno,2,4,65,0.03669984639,,
Nav1.4,Control,2,5,-90,-0.05731755495,0.03654009106,
Nav1.4,Control,2,5,-85,,,
Nav1.4,Control,2,5,-80,-0.03897927701,0.02668329435,
Nav1.4,Control,2,5,-75,,,
Nav1.4,Control,2,5,-70,-0.01500910521,0.01109317945,
Nav1.4,Control,2,5,-65,,,
Nav1.4,Control,2,5,-60,0.009210765362,-0.007397052438,
Nav1.4,Control,2,5,-55,,,
Nav1.4,Control,2,5,-50,0.01167990267,-0.01026908448,
Nav1.4,Control,2,5,-45,,,
Nav1.4,Control,2,5,-40,-0.1020951718,0.09916234657,
Nav1.4,Control,2,5,-35,,,
Nav1.4,Control,2,5,-30,-0.1190185547,0.1291200008,
Nav1.4,Control,2,5,-25,,,
Nav1.4,Control,2,5,-20,-0.3934825659,0.4834187663,
Nav1.4,Control,2,5,-15,,,
Nav1.4,Control,2,5,-10,-0.706148982,1,
Nav1.4,Control,2,5,-5,,,
